table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db,r2_own_c,r2_parent_c,r2_child_c,parent_lift,child_lift
table_0,feature_17,1895,19,31,0,0.8889441400476875,0.916835843957622,,plurel,plurel-131/db,0.8889441400476875,0.916835843957622,,0.02789170390993445,
table_12,feature_4,1872,21,36,0,0.9874439798365694,0.9974414382303046,,plurel,plurel-131/db,0.9874439798365694,0.9974414382303046,,0.009997458393735226,
table_4,feature_19,497,20,39,40,0.1661058994265046,0.1207718986595542,0.7375597813726988,plurel,plurel-131/db,0.1661058994265046,0.1207718986595542,0.7375597813726988,-0.045334000766950405,0.5714538819461943
table_1,feature_13,2842,25,13,0,0.2434212006805761,0.2655975115007256,,plurel,plurel-132/db,0.2434212006805761,0.2655975115007256,,0.02217631082014948,
table_0,feature_5,679,7,0,87,0.1410861421680438,,0.0783577626642267,plurel,plurel-132/db,0.1410861421680438,,0.0783577626642267,,-0.0627283795038171
table_1,feature_8,2842,25,13,0,0.9984993177409855,0.9987433804315192,,plurel,plurel-132/db,0.9984993177409855,0.9987433804315192,,0.00024406269053367513,
table_0,feature_16,649,24,0,31,-0.1407021557568972,,0.5091766016322355,plurel,plurel-133/db,-0.1407021557568972,,0.5091766016322355,,0.6498787573891327
table_1,feature_1,3591,9,9,0,0.9965282417046988,0.9992688263495908,,plurel,plurel-133/db,0.9965282417046988,0.9992688263495908,,0.002740584644892019,
table_3,feature_10,804,9,26,16,0.4033930785675196,0.4059750726025942,0.4080060334344187,plurel,plurel-133/db,0.4033930785675196,0.4059750726025942,0.4080060334344187,0.0025819940350745862,0.0046129548668991105
table_0,feature_2,2584,22,0,61,0.7679345774035284,,0.7596341801432791,rdbpfn,large_woGNN/dag_rdb_1004,0.7679345774035284,,0.7596341801432791,,-0.008300397260249337
table_0,feature_18,2584,22,0,61,0.7370800476672419,,0.7336307885826054,rdbpfn,large_woGNN/dag_rdb_1004,0.7370800476672419,,0.7336307885826054,,-0.003449259084636447
table_2,feature_8,4000,11,20,64,0.9487397950464744,0.9609682870131594,0.9393546901601102,rdbpfn,large_woGNN/dag_rdb_1004,0.9487397950464744,0.9609682870131594,0.9393546901601102,0.012228491966684962,-0.009385104886364237
table_2,feature_14,1070,22,21,0,0.1374708851163457,0.1682570150108907,,rdbpfn,large_woGNN/dag_rdb_1005,0.1374708851163457,0.1682570150108907,,0.03078612989454499,
table_1,feature_6,1055,20,21,0,0.9442660641323974,0.9413503795623136,,rdbpfn,large_woGNN/dag_rdb_1005,0.9442660641323974,0.9413503795623136,,-0.002915684570083843,
table_4,feature_8,1144,12,37,0,0.8184179508019988,0.8064342224388666,,rdbpfn,large_woGNN/dag_rdb_1005,0.8184179508019988,0.8064342224388666,,-0.011983728363132107,
table_1,feature_18,1690,21,12,40,0.3435190700228034,0.3350073523574919,0.3620136154663812,rdbpfn,large_woGNN/dag_rdb_1006,0.3435190700228034,0.3350073523574919,0.3620136154663812,-0.008511717665311502,0.018494545443577814
