table,target,n,n_own,n_par,n_chi,r2_own,r2_parent,r2_child,corpus,db
table_0,feature_2,3602,19,0,140,0.3186117763371856,,0.3200467513743438,rdbpfn,large_woGNN/dag_rdb_505
table_3,feature_4,1654,22,36,0,0.8414234025866305,0.845474119075344,,rdbpfn,large_woGNN/dag_rdb_505
table_3,feature_8,1044,11,12,40,0.9522662838856485,0.9593751946763805,0.9522767205183507,rdbpfn,large_woGNN/dag_rdb_506
table_2,feature_2,1096,11,0,40,0.05765480910928644,,-0.019625938312220814,rdbpfn,large_woGNN/dag_rdb_506
table_6,feature_10,1360,11,13,0,0.5797675891272296,0.7950870970882764,,rdbpfn,large_woGNN/dag_rdb_506
table_0,feature_0,1032,13,0,129,0.3636490796033257,,0.36447440167704703,rdbpfn,large_woGNN/dag_rdb_507
table_5,feature_20,1241,23,16,0,-0.08558406798208829,-0.08799517743406327,,rdbpfn,large_woGNN/dag_rdb_507
table_5,feature_6,1241,23,16,0,-0.18415870797295075,-0.1652069765933113,,rdbpfn,large_woGNN/dag_rdb_507
table_1,feature_8,1147,11,0,83,0.8593433117606293,,0.8604892926020669,rdbpfn,large_woGNN/dag_rdb_508
table_2,feature_8,1012,11,12,0,0.4864326759969154,0.6026546571882239,,rdbpfn,large_woGNN/dag_rdb_508
table_1,feature_4,1147,11,0,83,0.9461187673436027,,0.9338708862642408,rdbpfn,large_woGNN/dag_rdb_508
table_0,feature_18,2887,20,0,40,0.1559106347573297,,0.14429142061802147,rdbpfn,large_woGNN/dag_rdb_509
table_1,feature_8,1774,11,21,43,0.7851617059185336,0.7171358080658,0.784852840616568,rdbpfn,large_woGNN/dag_rdb_509
table_3,feature_10,4000,15,14,0,-0.06533207982304723,-0.039228871840802926,,rdbpfn,large_woGNN/dag_rdb_509
table_1,feature_6,4000,11,0,73,0.31973889440189385,,0.3137580415726883,rdbpfn,large_woGNN/dag_rdb_510
table_0,feature_2,1234,12,0,73,-0.04718248869480424,,-0.06278617776373019,rdbpfn,large_woGNN/dag_rdb_510
table_0,feature_8,1234,12,0,73,-0.17527636816077963,,-0.14396567936061389,rdbpfn,large_woGNN/dag_rdb_510
table_1,feature_16,1032,16,0,43,0.264323883386667,,0.25034303326153773,rdbpfn,large_woGNN/dag_rdb_511
table_2,feature_4,1017,11,29,0,0.8300145118470167,0.7906724477456846,,rdbpfn,large_woGNN/dag_rdb_511
table_1,feature_8,1032,16,0,43,0.9482186285822155,,0.9479506384168318,rdbpfn,large_woGNN/dag_rdb_511
table_1,feature_10,1000,11,12,0,0.7005438949935336,0.6607310894996621,,rdbpfn,large_woGNN/dag_rdb_512
table_1,feature_6,1000,11,12,0,0.416683640102105,0.38369816292913206,,rdbpfn,large_woGNN/dag_rdb_512
table_0,feature_10,1000,11,0,40,-0.2808190267458648,,-0.2070544384578885,rdbpfn,large_woGNN/dag_rdb_512
table_0,feature_4,1628,11,0,43,0.7253853657611669,,0.6846369125902878,rdbpfn,large_woGNN/dag_rdb_513
table_1,feature_0,2198,14,0,43,0.15140814067017405,,0.1661303764470925,rdbpfn,large_woGNN/dag_rdb_513
table_0,feature_8,1628,11,0,43,0.8469157522846884,,0.8133535295751928,rdbpfn,large_woGNN/dag_rdb_513
table_1,feature_4,1866,11,15,40,0.4550239498302582,0.44828674153596826,0.43521281449399907,rdbpfn,large_woGNN/dag_rdb_514
table_1,feature_0,1866,11,15,40,-0.017149637031321996,-0.042243924062100646,0.09009513759717347,rdbpfn,large_woGNN/dag_rdb_514
table_0,feature_6,4000,14,0,40,0.9412019795354583,,0.9411563183076425,rdbpfn,large_woGNN/dag_rdb_514
table_0,feature_16,1082,21,0,141,0.8713604125079769,,0.8549045060109159,rdbpfn,large_woGNN/dag_rdb_515
table_0,feature_12,1082,21,0,141,0.7731914432448532,,0.7311977954628285,rdbpfn,large_woGNN/dag_rdb_515
table_0,feature_8,1082,21,0,141,0.7527000478252264,,0.7240134191794853,rdbpfn,large_woGNN/dag_rdb_515
table_0,feature_14,2364,19,0,52,-0.03816161721888145,,-0.023098349153303,rdbpfn,large_woGNN/dag_rdb_516
table_1,feature_0,2770,17,0,52,0.6801870720107196,,0.6633332667421468,rdbpfn,large_woGNN/dag_rdb_516
table_2,feature_12,2450,14,38,0,0.5479857622383499,0.5649427242256835,,rdbpfn,large_woGNN/dag_rdb_516
table_0,feature_18,2268,22,0,150,-0.1545090070713473,,-0.10586346170306138,rdbpfn,large_woGNN/dag_rdb_517
table_5,feature_10,1325,11,35,70,0.18704052228863466,0.2768018098162097,0.20975686300408447,rdbpfn,large_woGNN/dag_rdb_517
table_6,feature_18,1867,21,12,70,-0.12451878167894104,-0.13036345506920055,-0.11464343381374986,rdbpfn,large_woGNN/dag_rdb_517
table_2,feature_10,1606,17,32,0,0.9771240495444066,0.9759892872106858,,rdbpfn,large_woGNN/dag_rdb_518
table_1,feature_0,2691,11,19,61,0.9081587832300411,0.9057154227365154,0.908314624826958,rdbpfn,large_woGNN/dag_rdb_518
table_0,feature_0,4000,18,0,101,0.6573960937984142,,0.6566242149577487,rdbpfn,large_woGNN/dag_rdb_518
table_1,feature_4,1866,11,0,138,-0.1377422360676881,,-0.12747164452837811,rdbpfn,large_woGNN/dag_rdb_519
table_6,feature_12,1327,18,42,110,0.21183963913265802,0.12487447012246311,0.1546205894167303,rdbpfn,large_woGNN/dag_rdb_519
table_9,feature_10,1000,11,22,0,0.18629607352869693,0.13521657525458242,,rdbpfn,large_woGNN/dag_rdb_519
table_2,feature_4,1000,11,12,0,0.5427338113228009,0.5024876115001309,,rdbpfn,large_woGNN/dag_rdb_520
table_1,feature_2,1191,11,12,0,-0.12038526290801577,-0.05862484798392287,,rdbpfn,large_woGNN/dag_rdb_520
table_0,feature_0,1276,11,0,80,-0.2826706855224228,,-0.08628761139449304,rdbpfn,large_woGNN/dag_rdb_520
table_2,feature_22,2330,22,20,0,0.9665389306363715,0.9640489839063568,,rdbpfn,large_woGNN/dag_rdb_521
table_0,feature_14,1763,19,0,134,0.40174539305867085,,0.40299184472678506,rdbpfn,large_woGNN/dag_rdb_521
table_1,feature_6,1807,18,20,0,-0.22770532953088396,-0.2138846534690806,,rdbpfn,large_woGNN/dag_rdb_521
table_2,feature_0,1301,16,26,0,-0.13953308532939834,-0.18814368017213634,,rdbpfn,large_woGNN/dag_rdb_522
table_2,feature_4,1301,16,26,0,-0.14874202640735756,-0.13347362964582343,,rdbpfn,large_woGNN/dag_rdb_522
table_2,feature_14,1301,16,26,0,-0.19384808061214298,-0.18436627643863557,,rdbpfn,large_woGNN/dag_rdb_522
table_1,feature_6,1000,11,16,0,-0.1576598515381089,-0.19017430799447355,,rdbpfn,large_woGNN/dag_rdb_523
table_2,feature_0,1000,11,16,0,0.5059318785451347,0.48833965514950606,,rdbpfn,large_woGNN/dag_rdb_523
table_2,feature_8,1000,11,16,0,0.891589332721809,0.893032413447387,,rdbpfn,large_woGNN/dag_rdb_523
table_0,feature_4,1869,11,0,40,0.15789021536602332,,0.16189115515730745,rdbpfn,large_woGNN/dag_rdb_524
table_0,feature_6,1869,11,0,40,0.05569798974238804,,0.048355242601644144,rdbpfn,large_woGNN/dag_rdb_524
table_0,feature_2,1869,11,0,40,0.35787391595680096,,0.3690225173479028,rdbpfn,large_woGNN/dag_rdb_524
table_0,feature_10,1379,22,0,119,0.7084377879603139,,0.7024860932524021,rdbpfn,large_woGNN/dag_rdb_525
table_3,feature_12,4000,20,42,0,0.8310328240878414,0.8340412962772099,,rdbpfn,large_woGNN/dag_rdb_525
table_3,feature_4,4000,20,42,0,0.6101210923597089,0.6278295846103985,,rdbpfn,large_woGNN/dag_rdb_525
table_1,feature_4,1727,11,12,0,0.39719739499971995,0.5643394084882951,,rdbpfn,large_woGNN/dag_rdb_526
table_0,feature_2,2518,11,0,104,-0.06450474871496681,,-0.0707125311356589,rdbpfn,large_woGNN/dag_rdb_526
table_2,feature_12,4000,19,12,0,0.9123948799032942,0.9109970952095436,,rdbpfn,large_woGNN/dag_rdb_526
table_2,feature_0,2156,11,22,79,-0.09170023586755693,-0.10824139743820305,-0.06888203712193874,rdbpfn,large_woGNN/dag_rdb_527
table_4,feature_0,2317,11,17,79,-0.21349375947531857,-0.24349525405470485,-0.14786899692663602,rdbpfn,large_woGNN/dag_rdb_527
table_6,feature_20,1980,22,39,0,0.17003920218628388,0.18884397383770668,,rdbpfn,large_woGNN/dag_rdb_527
table_1,feature_8,1181,11,19,0,-0.26014825510890005,-0.2891785537780456,,rdbpfn,large_woGNN/dag_rdb_528
table_0,feature_14,1157,18,0,40,0.14616117504344794,,0.18086202783566785,rdbpfn,large_woGNN/dag_rdb_528
table_0,feature_8,1157,18,0,40,0.11635506932305262,,0.05308401472697044,rdbpfn,large_woGNN/dag_rdb_528
table_1,feature_4,1153,11,12,0,0.8202947829965782,0.8033785857097364,,rdbpfn,large_woGNN/dag_rdb_529
table_1,feature_2,1153,11,12,0,0.3935224341932002,0.34914124228246424,,rdbpfn,large_woGNN/dag_rdb_529
table_0,feature_2,1102,11,0,80,0.6935719437074424,,0.6459620540054694,rdbpfn,large_woGNN/dag_rdb_529
table_2,feature_2,1284,11,12,40,0.9854868078213948,0.9881113810731124,0.985367688445684,rdbpfn,large_woGNN/dag_rdb_530
table_2,feature_8,1284,11,12,40,0.8785863363833997,0.8732532278905101,0.8784735889828625,rdbpfn,large_woGNN/dag_rdb_530
