model,block,stream,head,deviation_l2
grdm,9,col,5,0.6484208909171143
grdm,9,col,6,0.6204693312535365
grdm,9,col,7,0.8373715853811533
grdm,9,feat,0,0.5857919035263564
grdm,9,feat,1,0.6438363027822828
grdm,9,feat,2,0.692252433348953
grdm,9,feat,3,0.708117085936177
grdm,9,feat,4,0.484254910595061
grdm,9,feat,5,0.8783121389831983
grdm,9,feat,6,0.9885642509707825
grdm,9,feat,7,0.7015002446068835
grdm,9,nbr,0,0.5538498941276682
grdm,9,nbr,1,0.5590252726699809
grdm,9,nbr,2,0.5003339389911036
grdm,9,nbr,3,0.43268012327427086
grdm,9,nbr,4,0.42892364100164626
grdm,9,nbr,5,0.5510774181380578
grdm,9,nbr,6,0.5912974425066846
grdm,9,nbr,7,0.5242749070391337
grdm,10,col,0,0.5457877898295397
grdm,10,col,1,0.6117102218023712
grdm,10,col,2,0.689230953329909
grdm,10,col,3,0.5967812178618189
grdm,10,col,4,0.6861195848309998
grdm,10,col,5,0.7408311697749873
grdm,10,col,6,0.6709617129586635
grdm,10,col,7,0.6790292199402184
grdm,10,feat,0,0.8708347482913141
grdm,10,feat,1,0.6717443616411805
grdm,10,feat,2,0.5967752782791842
grdm,10,feat,3,0.741847683259823
grdm,10,feat,4,0.5189213794247469
grdm,10,feat,5,0.7294699270996119
grdm,10,feat,6,0.8477021547711717
grdm,10,feat,7,0.6793747105461845
grdm,10,nbr,0,0.47263813378160724
grdm,10,nbr,1,0.4319069071216082
grdm,10,nbr,2,0.40531786939348224
grdm,10,nbr,3,0.5079338863985188
grdm,10,nbr,4,0.3658299129670331
grdm,10,nbr,5,0.36984556492600695
grdm,10,nbr,6,0.5321164253438759
grdm,10,nbr,7,0.4967781343598146
grdm,11,col,0,0.7554744410571684
grdm,11,col,1,0.794495998058149
grdm,11,col,2,0.817224888374784
grdm,11,col,3,0.758547566497976
grdm,11,col,4,0.6945384812595423
grdm,11,col,5,0.7365835237638392
grdm,11,col,6,0.7263106760852807
grdm,11,col,7,0.7924959765296029
grdm,11,feat,0,0.639122899938931
grdm,11,feat,1,0.6652317580184488
grdm,11,feat,2,0.6211915389038194
grdm,11,feat,3,0.6991106461225086
grdm,11,feat,4,0.5872385774985847
grdm,11,feat,5,0.7162217631690878
grdm,11,feat,6,0.6825264527972423
grdm,11,feat,7,0.6431966315212402
grdm,11,nbr,0,0.4603879367990046
grdm,11,nbr,1,0.4272404959175693
grdm,11,nbr,2,0.33771775349261457
grdm,11,nbr,3,0.34945938686369565
grdm,11,nbr,4,0.4379097284408759
grdm,11,nbr,5,0.3830008675871079
grdm,11,nbr,6,0.38028961014020024
grdm,11,nbr,7,0.4395949728175819
plurel,0,col,0,0.5208533233541633
plurel,0,col,1,0.484003178105777
plurel,0,col,2,0.5330299054155859
plurel,0,col,3,0.5036534555036588
plurel,0,col,4,0.5290113854544145
plurel,0,col,5,0.5989364675317699
plurel,0,col,6,0.5194806454328111
plurel,0,col,7,0.5698796092539595
plurel,0,feat,0,0.5602225119478865
plurel,0,feat,1,0.379780488342335
plurel,0,feat,2,0.391974328816975
plurel,0,feat,3,0.6645427986467202
plurel,0,feat,4,0.8098755733781172
plurel,0,feat,5,0.4842898424723785
plurel,0,feat,6,0.36594525936135525
plurel,0,feat,7,0.5487261741946713
plurel,0,nbr,0,0.5510985495323443
plurel,0,nbr,1,0.4828978441479799
plurel,0,nbr,2,0.4834427283447567
plurel,0,nbr,3,0.49959657084481796
plurel,0,nbr,4,0.4834230667159245
plurel,0,nbr,5,0.4750563475164378
plurel,0,nbr,6,0.5152564067916547
plurel,0,nbr,7,0.6631486523146584
plurel,1,col,0,0.5382948156731931
plurel,1,col,1,0.5638350597513825
plurel,1,col,2,0.6223651780010239
plurel,1,col,3,0.5505397872690511
plurel,1,col,4,0.6321221813148867
plurel,1,col,5,0.5853758822490862
plurel,1,col,6,0.6038626379967782
plurel,1,col,7,0.4132223693064861
plurel,1,feat,0,0.5939788722323118
plurel,1,feat,1,0.4965915172649859
plurel,1,feat,2,0.5226934111859697
plurel,1,feat,3,0.44245258101133406
plurel,1,feat,4,0.4902183864463518
plurel,1,feat,5,0.4635206353492056
plurel,1,feat,6,0.5429253938229179
plurel,1,feat,7,0.6124055283539227
plurel,1,nbr,0,0.4524575488913675
plurel,1,nbr,1,0.48211449703375703
plurel,1,nbr,2,0.42420945394457465
plurel,1,nbr,3,0.48610498678989206
plurel,1,nbr,4,0.4521480935179883
plurel,1,nbr,5,0.42388753870083373
plurel,1,nbr,6,0.44816086224583973
plurel,1,nbr,7,0.4311756546786572
