model,stream,block,deviation_l2
plurel,nbr,3,1.1928365230560303
plurel,nbr,4,1.0629866123199463
plurel,nbr,5,1.1035150289535522
plurel,nbr,6,1.0872859954833984
plurel,nbr,7,1.0754528045654297
plurel,nbr,8,0.9962897300720215
plurel,nbr,9,1.0077623128890991
plurel,nbr,10,0.9092131853103638
plurel,nbr,11,0.9942947030067444
plurel,ffn,0,2.8158369064331055
plurel,ffn,1,2.6617722511291504
plurel,ffn,2,2.483661651611328
plurel,ffn,3,2.2624480724334717
plurel,ffn,4,2.1833183765411377
plurel,ffn,5,2.0976686477661133
plurel,ffn,6,2.0807266235351562
plurel,ffn,7,1.9675352573394775
plurel,ffn,8,1.9677728414535522
plurel,ffn,9,1.8939188718795776
plurel,ffn,10,1.9460781812667847
plurel,ffn,11,2.064936637878418
rdbpfn,col,0,1.6736347675323486
rdbpfn,col,1,1.7349677085876465
rdbpfn,col,2,1.6002148389816284
rdbpfn,col,3,1.6239843368530273
rdbpfn,col,4,1.5327460765838623
rdbpfn,col,5,1.4529714584350586
rdbpfn,col,6,1.6185816526412964
rdbpfn,col,7,1.5878479480743408
rdbpfn,col,8,1.6243468523025513
rdbpfn,col,9,1.652221441268921
rdbpfn,col,10,1.5408515930175781
rdbpfn,col,11,1.6458991765975952
rdbpfn,feat,0,1.2082483768463135
rdbpfn,feat,1,1.338261604309082
rdbpfn,feat,2,1.1509718894958496
rdbpfn,feat,3,1.3259303569793701
rdbpfn,feat,4,1.2911280393600464
rdbpfn,feat,5,1.1518571376800537
rdbpfn,feat,6,1.3372019529342651
rdbpfn,feat,7,1.1523282527923584
rdbpfn,feat,8,1.2985870838165283
rdbpfn,feat,9,1.231549620628357
rdbpfn,feat,10,1.3043040037155151
rdbpfn,feat,11,1.2687817811965942
rdbpfn,nbr,0,1.344496250152588
rdbpfn,nbr,1,1.1907678842544556
rdbpfn,nbr,2,1.122938871383667
rdbpfn,nbr,3,1.1358370780944824
rdbpfn,nbr,4,1.1196048259735107
rdbpfn,nbr,5,1.0748670101165771
rdbpfn,nbr,6,1.039691686630249
rdbpfn,nbr,7,1.0784014463424683
rdbpfn,nbr,8,1.0797089338302612
rdbpfn,nbr,9,1.0744248628616333
rdbpfn,nbr,10,0.9110219478607178
rdbpfn,nbr,11,0.9282451272010803
rdbpfn,ffn,0,2.7268168926239014
rdbpfn,ffn,1,2.5670361518859863
rdbpfn,ffn,2,2.378801107406616
rdbpfn,ffn,3,2.215744972229004
rdbpfn,ffn,4,2.1319193840026855
rdbpfn,ffn,5,2.0286080837249756
rdbpfn,ffn,6,2.0695717334747314
rdbpfn,ffn,7,1.9636543989181519
rdbpfn,ffn,8,1.9352134466171265
rdbpfn,ffn,9,1.871072769165039
rdbpfn,ffn,10,1.9229577779769897
rdbpfn,ffn,11,2.015623092651367
reldiff,col,0,1.3876985311508179
reldiff,col,1,1.4438953399658203
reldiff,col,2,1.4634928703308105
reldiff,col,3,1.4708048105239868
reldiff,col,4,1.4532461166381836
reldiff,col,5,1.4483540058135986
reldiff,col,6,1.5720512866973877
reldiff,col,7,1.4679189920425415
reldiff,col,8,1.6584254503250122
reldiff,col,9,1.6731994152069092
reldiff,col,10,1.6035094261169434
reldiff,col,11,1.8770687580108643
reldiff,feat,0,1.3072893619537354
reldiff,feat,1,1.416556715965271
reldiff,feat,2,1.3480851650238037
reldiff,feat,3,1.582485318183899
reldiff,feat,4,1.7445498704910278
reldiff,feat,5,1.506831169128418
reldiff,feat,6,1.7742021083831787
reldiff,feat,7,1.7135400772094727
reldiff,feat,8,1.9572056531906128
reldiff,feat,9,1.8542996644973755
reldiff,feat,10,1.9555562734603882
reldiff,feat,11,2.0129523277282715
reldiff,nbr,0,2.2063379287719727
reldiff,nbr,1,2.168673038482666
reldiff,nbr,2,2.0221190452575684
reldiff,nbr,3,2.1478350162506104
reldiff,nbr,4,1.9808616638183594
reldiff,nbr,5,1.9141207933425903
reldiff,nbr,6,1.9558074474334717
reldiff,nbr,7,2.0768790245056152
reldiff,nbr,8,1.574748158454895
reldiff,nbr,9,1.4907429218292236
reldiff,nbr,10,1.2727819681167603
reldiff,nbr,11,0.9813751578330994
reldiff,ffn,0,2.9670841693878174
reldiff,ffn,1,2.909444808959961
reldiff,ffn,2,2.869611978530884
reldiff,ffn,3,2.7451953887939453
reldiff,ffn,4,2.7999439239501953
reldiff,ffn,5,2.733708620071411
reldiff,ffn,6,2.785025119781494
reldiff,ffn,7,2.633596897125244
reldiff,ffn,8,2.670414924621582
reldiff,ffn,9,2.544013023376465
reldiff,ffn,10,2.629100799560547
reldiff,ffn,11,2.551717758178711
